,uid,label_id,path,label_num
47683,e7ea8b76,2,../../Data/train/audio/up/e7ea8b76_nohash_4.wav,5
36890,cb8f8307,1,../../Data/train/audio/no/cb8f8307_nohash_3.wav,2
38271,cb8f8307,1,../../Data/train/audio/no/cb8f8307_nohash_5.wav,2
24669,cb8f8307,11,../../Data/train/audio/five/cb8f8307_nohash_5.wav,2
16728,cb8f8307,7,../../Data/train/audio/off/cb8f8307_nohash_6.wav,2
3558,e7ea8b76,11,../../Data/train/audio/four/e7ea8b76_nohash_1.wav,5
27359,cb8f8307,3,../../Data/train/audio/down/cb8f8307_nohash_1.wav,2
45549,e7ea8b76,9,../../Data/train/audio/go/e7ea8b76_nohash_2.wav,5
44136,cb8f8307,9,../../Data/train/audio/go/cb8f8307_nohash_7.wav,2
41510,cb8f8307,8,../../Data/train/audio/stop/cb8f8307_nohash_0.wav,2
38203,e7ea8b76,1,../../Data/train/audio/no/e7ea8b76_nohash_4.wav,5
25759,e7ea8b76,3,../../Data/train/audio/down/e7ea8b76_nohash_0.wav,5
44697,c1d39ce8,9,../../Data/train/audio/go/c1d39ce8_nohash_5.wav,0
12226,c1d39ce8,11,../../Data/train/audio/three/c1d39ce8_nohash_0.wav,0
42522,c1d39ce8,8,../../Data/train/audio/stop/c1d39ce8_nohash_3.wav,0
13844,cb8f8307,4,../../Data/train/audio/left/cb8f8307_nohash_4.wav,2
32726,28ce0c58,0,../../Data/train/audio/yes/28ce0c58_nohash_4.wav,4
8015,c1d39ce8,11,../../Data/train/audio/six/c1d39ce8_nohash_6.wav,0
1677,c1d39ce8,11,../../Data/train/audio/wow/c1d39ce8_nohash_0.wav,0
42780,bdee441c,8,../../Data/train/audio/stop/bdee441c_nohash_1.wav,8
45620,bdee441c,9,../../Data/train/audio/go/bdee441c_nohash_2.wav,8
62398,cb8f8307,11,../../Data/train/audio/two/cb8f8307_nohash_5.wav,2
36041,bdee441c,11,../../Data/train/audio/one/bdee441c_nohash_4.wav,8
60992,c1d39ce8,11,../../Data/train/audio/two/c1d39ce8_nohash_6.wav,0
26551,c1d39ce8,3,../../Data/train/audio/down/c1d39ce8_nohash_3.wav,0
24405,cb8f8307,11,../../Data/train/audio/five/cb8f8307_nohash_4.wav,2
55824,c1d39ce8,11,../../Data/train/audio/tree/c1d39ce8_nohash_0.wav,0
62644,c1d39ce8,11,../../Data/train/audio/two/c1d39ce8_nohash_4.wav,0
50033,28ce0c58,11,../../Data/train/audio/seven/28ce0c58_nohash_5.wav,4
5100,e7ea8b76,11,../../Data/train/audio/four/e7ea8b76_nohash_3.wav,5
57390,cb8f8307,11,../../Data/train/audio/nine/cb8f8307_nohash_4.wav,2
29890,7c1d8533,11,../../Data/train/audio/zero/7c1d8533_nohash_5.wav,6
62496,c120e80e,11,../../Data/train/audio/two/c120e80e_nohash_2.wav,1
17180,9a7c1f83,7,../../Data/train/audio/off/9a7c1f83_nohash_0.wav,9
2343,9a7c1f83,11,../../Data/train/audio/happy/9a7c1f83_nohash_0.wav,9
3430,c1d39ce8,11,../../Data/train/audio/happy/c1d39ce8_nohash_0.wav,0
32026,cb8f8307,0,../../Data/train/audio/yes/cb8f8307_nohash_6.wav,2
57269,c1d39ce8,11,../../Data/train/audio/nine/c1d39ce8_nohash_2.wav,0
26899,c120e80e,3,../../Data/train/audio/down/c120e80e_nohash_1.wav,1
20897,c1d39ce8,11,../../Data/train/audio/eight/c1d39ce8_nohash_6.wav,0
18990,c120e80e,11,../../Data/train/audio/house/c120e80e_nohash_0.wav,1
16381,28ce0c58,11,../../Data/train/audio/cat/28ce0c58_nohash_0.wav,4
13899,bdee441c,4,../../Data/train/audio/left/bdee441c_nohash_1.wav,8
10258,cb2929ce,11,../../Data/train/audio/three/cb2929ce_nohash_5.wav,3
21518,cb8f8307,11,../../Data/train/audio/eight/cb8f8307_nohash_2.wav,2
44193,c1d39ce8,9,../../Data/train/audio/go/c1d39ce8_nohash_8.wav,0
61149,cb2929ce,11,../../Data/train/audio/two/cb2929ce_nohash_0.wav,3
43160,bdee441c,8,../../Data/train/audio/stop/bdee441c_nohash_4.wav,8
14095,28ce0c58,4,../../Data/train/audio/left/28ce0c58_nohash_2.wav,4
32763,cb2929ce,0,../../Data/train/audio/yes/cb2929ce_nohash_2.wav,3
47397,bdee441c,2,../../Data/train/audio/up/bdee441c_nohash_3.wav,8
57608,e7ea8b76,11,../../Data/train/audio/nine/e7ea8b76_nohash_4.wav,5
5908,bdee441c,11,../../Data/train/audio/bird/bdee441c_nohash_0.wav,8
58804,28ce0c58,6,../../Data/train/audio/on/28ce0c58_nohash_1.wav,4
59253,cb8f8307,6,../../Data/train/audio/on/cb8f8307_nohash_2.wav,2
48863,cb2929ce,11,../../Data/train/audio/seven/cb2929ce_nohash_0.wav,3
39878,cb2929ce,5,../../Data/train/audio/right/cb2929ce_nohash_2.wav,3
32220,7c1d8533,0,../../Data/train/audio/yes/7c1d8533_nohash_0.wav,6
21388,d0faf7e4,11,../../Data/train/audio/eight/d0faf7e4_nohash_1.wav,7
4823,c1d39ce8,11,../../Data/train/audio/four/c1d39ce8_nohash_3.wav,0
54204,bdee441c,11,../../Data/train/audio/tree/bdee441c_nohash_0.wav,8
46879,c1d39ce8,2,../../Data/train/audio/up/c1d39ce8_nohash_9.wav,0
58045,cb8f8307,11,../../Data/train/audio/nine/cb8f8307_nohash_1.wav,2
31001,c120e80e,11,../../Data/train/audio/zero/c120e80e_nohash_1.wav,1
44489,cb2929ce,9,../../Data/train/audio/go/cb2929ce_nohash_3.wav,3
48612,cb8f8307,11,../../Data/train/audio/seven/cb8f8307_nohash_0.wav,2
37487,28ce0c58,1,../../Data/train/audio/no/28ce0c58_nohash_4.wav,4
11569,e7ea8b76,11,../../Data/train/audio/three/e7ea8b76_nohash_3.wav,5
42972,d0faf7e4,8,../../Data/train/audio/stop/d0faf7e4_nohash_0.wav,7
20838,c1d39ce8,11,../../Data/train/audio/eight/c1d39ce8_nohash_1.wav,0
35533,bdee441c,11,../../Data/train/audio/one/bdee441c_nohash_3.wav,8
47562,e7ea8b76,2,../../Data/train/audio/up/e7ea8b76_nohash_3.wav,5
1805,bdee441c,11,../../Data/train/audio/happy/bdee441c_nohash_0.wav,8
32015,cb8f8307,0,../../Data/train/audio/yes/cb8f8307_nohash_0.wav,2
44775,28ce0c58,9,../../Data/train/audio/go/28ce0c58_nohash_3.wav,4
3930,cb8f8307,11,../../Data/train/audio/four/cb8f8307_nohash_3.wav,2
37337,d0faf7e4,1,../../Data/train/audio/no/d0faf7e4_nohash_1.wav,7
45264,c120e80e,9,../../Data/train/audio/go/c120e80e_nohash_1.wav,1
21048,28ce0c58,11,../../Data/train/audio/eight/28ce0c58_nohash_1.wav,4
43676,9a7c1f83,9,../../Data/train/audio/go/9a7c1f83_nohash_1.wav,9
16725,cb2929ce,7,../../Data/train/audio/off/cb2929ce_nohash_5.wav,3
11645,cb2929ce,11,../../Data/train/audio/three/cb2929ce_nohash_4.wav,3
25726,e7ea8b76,3,../../Data/train/audio/down/e7ea8b76_nohash_5.wav,5
14592,c1d39ce8,4,../../Data/train/audio/left/c1d39ce8_nohash_0.wav,0
11490,cb8f8307,11,../../Data/train/audio/three/cb8f8307_nohash_4.wav,2
43863,cb8f8307,9,../../Data/train/audio/go/cb8f8307_nohash_6.wav,2
34997,c1d39ce8,11,../../Data/train/audio/one/c1d39ce8_nohash_9.wav,0
48859,e7ea8b76,11,../../Data/train/audio/seven/e7ea8b76_nohash_0.wav,5
23163,c120e80e,11,../../Data/train/audio/five/c120e80e_nohash_0.wav,1
43968,7c1d8533,9,../../Data/train/audio/go/7c1d8533_nohash_1.wav,6
46269,cb8f8307,2,../../Data/train/audio/up/cb8f8307_nohash_6.wav,2
31309,e7ea8b76,11,../../Data/train/audio/zero/e7ea8b76_nohash_2.wav,5
14638,28ce0c58,4,../../Data/train/audio/left/28ce0c58_nohash_0.wav,4
26577,cb2929ce,3,../../Data/train/audio/down/cb2929ce_nohash_1.wav,3
24970,9a7c1f83,11,../../Data/train/audio/five/9a7c1f83_nohash_3.wav,9
57395,9a7c1f83,11,../../Data/train/audio/nine/9a7c1f83_nohash_5.wav,9
10531,7c1d8533,11,../../Data/train/audio/three/7c1d8533_nohash_5.wav,6
26735,cb8f8307,3,../../Data/train/audio/down/cb8f8307_nohash_4.wav,2
29392,c120e80e,11,../../Data/train/audio/zero/c120e80e_nohash_7.wav,1
41256,bdee441c,8,../../Data/train/audio/stop/bdee441c_nohash_0.wav,8
16964,cb2929ce,7,../../Data/train/audio/off/cb2929ce_nohash_0.wav,3
21716,28ce0c58,11,../../Data/train/audio/eight/28ce0c58_nohash_3.wav,4
43888,c1d39ce8,9,../../Data/train/audio/go/c1d39ce8_nohash_1.wav,0
41761,28ce0c58,8,../../Data/train/audio/stop/28ce0c58_nohash_1.wav,4
31326,d0faf7e4,11,../../Data/train/audio/zero/d0faf7e4_nohash_2.wav,7
16348,c1d39ce8,11,../../Data/train/audio/cat/c1d39ce8_nohash_0.wav,0
8630,cb8f8307,11,../../Data/train/audio/six/cb8f8307_nohash_2.wav,2
37424,d0faf7e4,1,../../Data/train/audio/no/d0faf7e4_nohash_3.wav,7
60215,e7ea8b76,6,../../Data/train/audio/on/e7ea8b76_nohash_2.wav,5
41261,e7ea8b76,8,../../Data/train/audio/stop/e7ea8b76_nohash_1.wav,5
35604,cb8f8307,11,../../Data/train/audio/one/cb8f8307_nohash_4.wav,2
45761,e7ea8b76,9,../../Data/train/audio/go/e7ea8b76_nohash_6.wav,5
60227,cb2929ce,6,../../Data/train/audio/on/cb2929ce_nohash_6.wav,3
29393,e7ea8b76,11,../../Data/train/audio/zero/e7ea8b76_nohash_1.wav,5
33869,cb8f8307,0,../../Data/train/audio/yes/cb8f8307_nohash_1.wav,2
59210,d0faf7e4,6,../../Data/train/audio/on/d0faf7e4_nohash_3.wav,7
23388,7c1d8533,11,../../Data/train/audio/five/7c1d8533_nohash_0.wav,6
32600,cb2929ce,0,../../Data/train/audio/yes/cb2929ce_nohash_3.wav,3
43245,c1d39ce8,8,../../Data/train/audio/stop/c1d39ce8_nohash_4.wav,0
51988,d0faf7e4,11,../../Data/train/audio/bed/d0faf7e4_nohash_0.wav,7
61177,cb8f8307,11,../../Data/train/audio/two/cb8f8307_nohash_7.wav,2
4938,bdee441c,11,../../Data/train/audio/four/bdee441c_nohash_3.wav,8
35768,c120e80e,11,../../Data/train/audio/one/c120e80e_nohash_1.wav,1
63222,c120e80e,11,../../Data/train/audio/marvin/c120e80e_nohash_0.wav,1
30671,cb2929ce,11,../../Data/train/audio/zero/cb2929ce_nohash_1.wav,3
3596,9a7c1f83,11,../../Data/train/audio/four/9a7c1f83_nohash_1.wav,9
23426,28ce0c58,11,../../Data/train/audio/five/28ce0c58_nohash_1.wav,4
29631,cb8f8307,11,../../Data/train/audio/zero/cb8f8307_nohash_6.wav,2
9567,bdee441c,11,../../Data/train/audio/six/bdee441c_nohash_4.wav,8
38502,c1d39ce8,1,../../Data/train/audio/no/c1d39ce8_nohash_4.wav,0
11544,bdee441c,11,../../Data/train/audio/three/bdee441c_nohash_1.wav,8
60940,c1d39ce8,11,../../Data/train/audio/two/c1d39ce8_nohash_1.wav,0
14352,c1d39ce8,4,../../Data/train/audio/left/c1d39ce8_nohash_4.wav,0
45102,cb8f8307,9,../../Data/train/audio/go/cb8f8307_nohash_4.wav,2
59787,9a7c1f83,6,../../Data/train/audio/on/9a7c1f83_nohash_5.wav,9
23013,7c1d8533,11,../../Data/train/audio/five/7c1d8533_nohash_3.wav,6
50653,28ce0c58,11,../../Data/train/audio/seven/28ce0c58_nohash_0.wav,4
9646,c120e80e,11,../../Data/train/audio/six/c120e80e_nohash_11.wav,1
60360,9a7c1f83,6,../../Data/train/audio/on/9a7c1f83_nohash_3.wav,9
49991,c120e80e,11,../../Data/train/audio/seven/c120e80e_nohash_1.wav,1
7976,d0faf7e4,11,../../Data/train/audio/six/d0faf7e4_nohash_4.wav,7
40976,cb8f8307,5,../../Data/train/audio/right/cb8f8307_nohash_1.wav,2
1303,d0faf7e4,11,../../Data/train/audio/wow/d0faf7e4_nohash_0.wav,7
41722,7c1d8533,8,../../Data/train/audio/stop/7c1d8533_nohash_0.wav,6
35192,c1d39ce8,11,../../Data/train/audio/one/c1d39ce8_nohash_5.wav,0
22934,bdee441c,11,../../Data/train/audio/five/bdee441c_nohash_0.wav,8
25763,cb2929ce,3,../../Data/train/audio/down/cb2929ce_nohash_0.wav,3
17060,c1d39ce8,7,../../Data/train/audio/off/c1d39ce8_nohash_8.wav,0
33410,c120e80e,0,../../Data/train/audio/yes/c120e80e_nohash_1.wav,1
46982,28ce0c58,2,../../Data/train/audio/up/28ce0c58_nohash_4.wav,4
6266,e7ea8b76,11,../../Data/train/audio/bird/e7ea8b76_nohash_0.wav,5
22190,cb2929ce,11,../../Data/train/audio/eight/cb2929ce_nohash_4.wav,3
10900,c1d39ce8,11,../../Data/train/audio/three/c1d39ce8_nohash_9.wav,0
58214,28ce0c58,11,../../Data/train/audio/nine/28ce0c58_nohash_0.wav,4
11847,c120e80e,11,../../Data/train/audio/three/c120e80e_nohash_2.wav,1
29865,cb2929ce,11,../../Data/train/audio/zero/cb2929ce_nohash_0.wav,3
17743,c1d39ce8,7,../../Data/train/audio/off/c1d39ce8_nohash_3.wav,0
27318,c120e80e,3,../../Data/train/audio/down/c120e80e_nohash_3.wav,1
64675,c1d39ce8,11,../../Data/train/audio/marvin/c1d39ce8_nohash_0.wav,0
